country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,WHO_label,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Other,AT.1,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Delta,AY.4.2,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Alpha,B.1.1.7,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Alpha,B.1.1.7+E484K,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Beta,B.1.351,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Epsilon,B.1.427/B.1.429,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Other,B.1.525,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Other,B.1.526,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Other,B.1.616,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Delta,B.1.617,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Delta,B.1.617.1,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Delta,B.1.617.2,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Delta,B.1.617.3,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Other,B.1.620,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Mu,B.1.621,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Lambda,C.1.2,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Lambda,C.37,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Gamma,P.1,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Gamma,P.3,0,261,0
Mexico,MX,2020-40,GISAID,67476,262,0.4,TRUE,Other,Other,261,261,100
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Other,AT.1,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Delta,AY.4.2,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Alpha,B.1.1.7,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Alpha,B.1.1.7+E484K,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Beta,B.1.351,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Epsilon,B.1.427/B.1.429,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Other,B.1.525,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Other,B.1.526,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Other,B.1.616,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Delta,B.1.617,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Delta,B.1.617.1,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Delta,B.1.617.2,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Delta,B.1.617.3,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Other,B.1.620,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Mu,B.1.621,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Lambda,C.1.2,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Lambda,C.37,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Gamma,P.1,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Gamma,P.3,0,248,0
Mexico,MX,2020-41,GISAID,82430,248,0.3,TRUE,Other,Other,248,248,100
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Other,AT.1,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Delta,AY.4.2,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Alpha,B.1.1.7,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Alpha,B.1.1.7+E484K,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Beta,B.1.351,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Epsilon,B.1.427/B.1.429,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Other,B.1.525,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Other,B.1.526,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Other,B.1.616,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Delta,B.1.617,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Delta,B.1.617.1,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Delta,B.1.617.2,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Delta,B.1.617.3,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Other,B.1.620,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Mu,B.1.621,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Lambda,C.1.2,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Lambda,C.37,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Gamma,P.1,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Gamma,P.3,0,236,0
Mexico,MX,2020-42,GISAID,102935,388,0.4,TRUE,Other,Other,236,236,100
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Other,AT.1,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Delta,AY.4.2,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Alpha,B.1.1.7,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Alpha,B.1.1.7+E484K,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Beta,B.1.351,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Epsilon,B.1.427/B.1.429,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Other,B.1.525,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Other,B.1.526,0,238,0
Mexico,MX,2020-43,GISAID,141502,238,0.2,TRUE,Other,B.1.616,0,238,0
