,year_week,WHO_label,percentage
0,2020-40,Alpha,0.72
1,2020-40,Beta,0.0
2,2020-40,Delta,0.07
3,2020-40,Epsilon,0.0
4,2020-40,Gamma,0.0
5,2020-40,Lambda,0.0
6,2020-40,Mu,0.0
7,2020-40,Other,17.97
8,2020-41,Alpha,1.23
9,2020-41,Beta,0.0
10,2020-41,Delta,0.07
11,2020-41,Epsilon,0.0
12,2020-41,Gamma,0.0
13,2020-41,Lambda,0.0
14,2020-41,Mu,0.0
15,2020-41,Other,20.15
16,2020-42,Alpha,1.8
17,2020-42,Beta,0.75
18,2020-42,Delta,0.08
19,2020-42,Epsilon,0.0
20,2020-42,Gamma,0.2
21,2020-42,Lambda,0.0
22,2020-42,Mu,0.0
23,2020-42,Other,17.44
24,2020-43,Alpha,0.81
25,2020-43,Beta,0.78
26,2020-43,Delta,0.0
27,2020-43,Epsilon,0.0
28,2020-43,Gamma,0.0
29,2020-43,Lambda,0.0
30,2020-43,Mu,0.0
31,2020-43,Other,17.35
32,2020-44,Alpha,1.73
33,2020-44,Beta,0.0
34,2020-44,Delta,0.35
35,2020-44,Epsilon,0.0
36,2020-44,Gamma,0.0
37,2020-44,Lambda,0.0
38,2020-44,Mu,0.0
39,2020-44,Other,18.48
40,2020-45,Alpha,2.01
41,2020-45,Beta,0.0
42,2020-45,Delta,0.18
43,2020-45,Epsilon,0.0
44,2020-45,Gamma,0.0
45,2020-45,Lambda,0.0
46,2020-45,Mu,0.0
47,2020-45,Other,18.51
48,2020-46,Alpha,1.72
49,2020-46,Beta,0.47
50,2020-46,Delta,0.0
51,2020-46,Epsilon,0.0
52,2020-46,Gamma,0.0
53,2020-46,Lambda,0.0
54,2020-46,Mu,0.0
55,2020-46,Other,16.97
56,2020-47,Alpha,1.82
57,2020-47,Beta,0.0
58,2020-47,Delta,0.28
59,2020-47,Epsilon,0.0
60,2020-47,Gamma,0.0
61,2020-47,Lambda,0.0
62,2020-47,Mu,0.0
63,2020-47,Other,17.44
64,2020-48,Alpha,2.87
65,2020-48,Beta,0.0
66,2020-48,Delta,0.24
67,2020-48,Epsilon,0.0
68,2020-48,Gamma,0.0
69,2020-48,Lambda,0.0
70,2020-48,Mu,0.0
71,2020-48,Other,19.89
72,2020-49,Alpha,0.37
73,2020-49,Beta,0.0
74,2020-49,Delta,0.05
75,2020-49,Epsilon,0.0
76,2020-49,Gamma,0.0
77,2020-49,Lambda,0.0
78,2020-49,Mu,0.0
79,2020-49,Other,23.48
80,2020-50,Alpha,1.15
81,2020-50,Beta,0.0
82,2020-50,Delta,0.04
83,2020-50,Epsilon,0.0
84,2020-50,Gamma,0.0
85,2020-50,Lambda,0.0
86,2020-50,Mu,0.0
87,2020-50,Other,24.47
88,2020-51,Alpha,2.51
89,2020-51,Beta,0.0
90,2020-51,Delta,0.0
91,2020-51,Epsilon,0.0
92,2020-51,Gamma,0.0
93,2020-51,Lambda,0.0
94,2020-51,Mu,0.0
95,2020-51,Other,25.39
96,2020-52,Alpha,11.66
97,2020-52,Beta,0.27
98,2020-52,Delta,0.03
99,2020-52,Epsilon,0.0
100,2020-52,Gamma,0.08
101,2020-52,Lambda,0.0
102,2020-52,Mu,0.0
103,2020-52,Other,27.18
104,2020-53,Alpha,15.53
105,2020-53,Beta,0.0
106,2020-53,Delta,0.07
107,2020-53,Epsilon,0.0
108,2020-53,Gamma,0.0
109,2020-53,Lambda,0.0
110,2020-53,Mu,0.0
111,2020-53,Other,20.32
112,2021-01,Alpha,30.18
113,2021-01,Beta,0.0
114,2021-01,Delta,0.05
115,2021-01,Epsilon,0.0
116,2021-01,Gamma,0.0
117,2021-01,Lambda,0.0
118,2021-01,Mu,0.0
119,2021-01,Other,16.31
120,2021-02,Alpha,27.99
121,2021-02,Beta,0.0
122,2021-02,Delta,0.04
123,2021-02,Epsilon,0.0
124,2021-02,Gamma,0.03
125,2021-02,Lambda,0.0
126,2021-02,Mu,0.0
127,2021-02,Other,15.06
128,2021-03,Alpha,20.14
129,2021-03,Beta,0.0
130,2021-03,Delta,0.06
131,2021-03,Epsilon,0.0
132,2021-03,Gamma,0.02
133,2021-03,Lambda,0.0
134,2021-03,Mu,0.0
135,2021-03,Other,17.42
136,2021-04,Alpha,21.27
137,2021-04,Beta,0.15
138,2021-04,Delta,0.06
139,2021-04,Epsilon,0.07
140,2021-04,Gamma,0.05
141,2021-04,Lambda,0.0
142,2021-04,Mu,0.0
143,2021-04,Other,17.32
144,2021-05,Alpha,25.13
145,2021-05,Beta,0.35
146,2021-05,Delta,0.0
147,2021-05,Epsilon,0.0
148,2021-05,Gamma,0.13
149,2021-05,Lambda,0.0
150,2021-05,Mu,0.0
151,2021-05,Other,15.36
152,2021-06,Alpha,31.04
153,2021-06,Beta,1.05
154,2021-06,Delta,0.02
155,2021-06,Epsilon,0.0
156,2021-06,Gamma,0.04
157,2021-06,Lambda,0.0
158,2021-06,Mu,0.0
159,2021-06,Other,13.56
160,2021-07,Alpha,34.98
161,2021-07,Beta,0.75
162,2021-07,Delta,0.01
163,2021-07,Epsilon,0.0
164,2021-07,Gamma,0.0
165,2021-07,Lambda,0.0
166,2021-07,Mu,0.0
167,2021-07,Other,11.71
168,2021-08,Alpha,43.58
169,2021-08,Beta,0.57
170,2021-08,Delta,0.0
171,2021-08,Epsilon,0.08
172,2021-08,Gamma,0.11
173,2021-08,Lambda,0.0
174,2021-08,Mu,0.0
175,2021-08,Other,8.27
176,2021-09,Alpha,46.54
177,2021-09,Beta,0.15
178,2021-09,Delta,0.0
179,2021-09,Epsilon,0.0
180,2021-09,Gamma,0.31
181,2021-09,Lambda,0.0
182,2021-09,Mu,0.08
183,2021-09,Other,7.06
184,2021-10,Alpha,52.94
185,2021-10,Beta,0.61
186,2021-10,Delta,0.01
187,2021-10,Epsilon,0.0
188,2021-10,Gamma,0.43
189,2021-10,Lambda,0.03
190,2021-10,Mu,0.11
191,2021-10,Other,4.95
192,2021-11,Alpha,59.08
193,2021-11,Beta,0.71
194,2021-11,Delta,0.0
195,2021-11,Epsilon,0.09
196,2021-11,Gamma,0.84
197,2021-11,Lambda,0.13
198,2021-11,Mu,0.22
199,2021-11,Other,3.73
200,2021-12,Alpha,61.75
201,2021-12,Beta,0.72
202,2021-12,Delta,0.0
203,2021-12,Epsilon,0.0
204,2021-12,Gamma,1.29
205,2021-12,Lambda,0.13
206,2021-12,Mu,0.36
207,2021-12,Other,2.47
208,2021-13,Alpha,62.83
209,2021-13,Beta,1.66
210,2021-13,Delta,0.03
211,2021-13,Epsilon,0.07
212,2021-13,Gamma,1.9
213,2021-13,Lambda,0.04
214,2021-13,Mu,0.29
215,2021-13,Other,2.16
216,2021-14,Alpha,60.32
217,2021-14,Beta,1.41
218,2021-14,Delta,0.04
219,2021-14,Epsilon,0.0
220,2021-14,Gamma,3.73
221,2021-14,Lambda,0.18
222,2021-14,Mu,0.22
223,2021-14,Other,2.01
224,2021-15,Alpha,60.12
225,2021-15,Beta,1.33
226,2021-15,Delta,0.04
227,2021-15,Epsilon,0.0
228,2021-15,Gamma,3.96
229,2021-15,Lambda,0.14
230,2021-15,Mu,0.23
231,2021-15,Other,1.36
232,2021-16,Alpha,61.27
233,2021-16,Beta,1.09
234,2021-16,Delta,0.11
235,2021-16,Epsilon,0.0
236,2021-16,Gamma,4.94
237,2021-16,Lambda,0.24
238,2021-16,Mu,1.23
239,2021-16,Other,1.27
240,2021-17,Alpha,56.24
241,2021-17,Beta,2.53
242,2021-17,Delta,0.27
243,2021-17,Epsilon,0.03
244,2021-17,Gamma,3.54
245,2021-17,Lambda,0.26
246,2021-17,Mu,1.36
247,2021-17,Other,1.03
248,2021-18,Alpha,56.57
249,2021-18,Beta,1.66
250,2021-18,Delta,0.48
251,2021-18,Epsilon,0.06
252,2021-18,Gamma,2.65
253,2021-18,Lambda,0.22
254,2021-18,Mu,1.72
255,2021-18,Other,0.99
256,2021-19,Alpha,55.98
257,2021-19,Beta,1.65
258,2021-19,Delta,0.53
259,2021-19,Epsilon,0.0
260,2021-19,Gamma,2.73
261,2021-19,Lambda,0.24
262,2021-19,Mu,3.53
263,2021-19,Other,1.02
264,2021-20,Alpha,58.05
265,2021-20,Beta,1.2
266,2021-20,Delta,1.1
267,2021-20,Epsilon,0.0
268,2021-20,Gamma,3.18
269,2021-20,Lambda,0.26
270,2021-20,Mu,3.51
271,2021-20,Other,1.26
272,2021-21,Alpha,52.82
273,2021-21,Beta,1.42
274,2021-21,Delta,2.0
275,2021-21,Epsilon,0.0
276,2021-21,Gamma,3.8
277,2021-21,Lambda,0.44
278,2021-21,Mu,5.54
279,2021-21,Other,1.13
280,2021-22,Alpha,50.4
